,ordinary_comment
0,一出爽片，告诉D家还是别玩深沉，适当鸡汤、疯狂爆米花，这不就挺好。放几个微博号，拔高至电影史，完全不必——太像一堆水炮。电影算好看啦，问题有超级英雄的自身软肋，像除了不想当海王，就没有性格毛病了。温子仁花大气力构筑的不同场景，确实花哨诡奇，但始终难以统一，比如那段跑酷的必要性，比如两次大场面，全部靠鱼海对决，看多了还是一个样。角色参与感太弱，尽管虾兵蟹将死那么多，who cares。一致叫好的海沟族，是照恐怖片的惊骇拍法，私货刺激，构思清奇（却还是解决不了我的困惑：主人公在海里像鱼雷速度，坐人类小船飘啊摇的干嘛）。至于夺王位的故事，全部是抡叉撸铁的蛮力角斗，打不死不说，挂个彩都好难。最后，那位苍蝇头反派，真的不是用来搞笑吗
1,还行，没吹得那么好，有点像强化娱乐性的海底版《黑豹》...故事线极其简单，打戏遍布扩成了143分钟的篇幅，对路人非常友好，不过这类过度炫目眼花缭乱的特效已经越看越麻木，什么海底《阿凡达》吹太过了，坐等《阿凡达2》的潘多拉海底世界吊打吧。7/10
2,温子仁完全疯了，主要是华纳也疯了。大概排序是这样的：新全面回忆→海底总动员1→猎杀潜航U571→龙虎门→2012→角斗士→夺宝奇兵1→速激5→指环王1→异形2→星际迷航3→侏罗纪公园3→星战前传2&3→诸神之怒，还有贯穿始终的70年代特摄美学，吓得威廉·达福都不敢放肆表演了。怎么说呢，所有港片迷也都得跪下，这是《封神传奇》膨胀一百倍后的样子。从电影主义出发是两颗星，但我会像喜欢《封神传奇》一样喜欢这部电影。
3,海王可能要被微博营销号给奶死了。。。
4,看了个午夜场，太尴尬了：海王登场，集体鼓掌；海王被击败逃跑，集体鼓掌；海王跳飞机，集体鼓掌；海王打败蝠鲼，集体鼓掌；海王他妈出现，集体鼓掌；海王拿到三叉戟，集体鼓掌；海王初吻，集体鼓掌；海王称王，集体鼓掌；温子仁字幕出现，集体鼓掌；彩蛋播完，集体鼓掌；全片播完，集体鼓掌……合算我是大晚上看了场海王演唱会啊！PS:虽然从头打到尾，权力游戏阿凡达星际战舰指环王星战共冶一炉，但最好看的一场打斗戏却是在西西里陆地，你说有多尴尬？
5,场面宏大，视觉轰炸，剧情就真的很水啦～～～～像心电图，一会儿指环王，一会儿星战，一会儿跑酷，一会儿哪吒闹海，一会儿龙宫借宝，一会儿哥斯拉。
6,第一次看以赶剧情为唯一目的的电影。就像以N倍速看了三部片有种窒息感和呕吐欲，最可怕的是连对海王亚瑟这个角色的塑造都放弃了，看到最后也不知道这人是谁。温子仁的确厉害，很多戏单拿出来都是绝对出色的，但过度密集毫不停歇导致根本无法消化，就像有人一直往你嘴里塞你喜欢的食物，塞到最后也只能全部吐出来。
7,当时神奇女侠就一波人叫好（我觉得神奇女侠巨难看！！！当时在电影院根本看不下去，隔应的慌），现在还是一波人无线吹捧。。。首先我承认特效很赞，人很美很帅，但是剧情，人设到处充满了bug，整体有点无聊。如果是国内拍的可能会被很多人讽刺只有特效，可能6分都不到。各位醒醒吧🙃大片不一定就是好片
8,温子仁是个不错的工匠，将成功的好莱坞大片的经典元素拿来一锅端，指环王星战星际迷航速激伯恩碟中谍哥斯拉等等的优点轮番上，不停的做加法，让你从戴上3D眼镜的那一刻起，就觉得特效场面在不停的大大大，直到让你眼花缭乱，眼睛不知道看哪儿，这个过程也逐渐丧失乐趣和思考的能力。他就是要让你无法思考，这种大大大赶赶赶的剧本，一思考就全完了。超级英雄电影到了温子仁这里，竟然走了指环王的路线，倒是确实跟漫威不一样了，以前也没人这么拍过，可惜导演一味的追求速度，情节太赶，赶着赶着连海王这个人物都没了，爱情没了，就剩下了色彩绚烂的特效，经不起一点回味，最后也真的成了那种只能卖特效的片子。如果你只想看特效？那这片子倒是适合你。
9,豆瓣分数明显虚高，一会儿就从8.5降8.4了。吹太过了吧，是因为DC让人失望太久，粉丝饥不择食？娱乐性是有的，可是从头到尾没让人激动的地方，倒是七仙女董永相会有点感人。海王只靠外语就拿到黄金三叉戟是认真的吗？还买一送一附赠性感内衣。最让人失望的是，DC还有自己的风格吗，毫无辨识度。
10,傻愣的台词，廉价的道具，浮夸的磨皮。除了几场戏调度不错，其他方面都太一般了。有时候，我甚至会产生错觉：这完全可以看成卓戈卡奥统治七国的故事，只不过是海底的七国大陆。这也完全可以被调侃成人猿泰山和小美人鱼的爱情历险。总之它的视觉效果和文本架构就是很容易让人分神。到头来，免不了还得夸一句：DC真的进步了！
11,当陆地人为自己的文明沾沾自喜时，亚特兰蒂斯的服装设计已经领先我们几百年。
12,吹过了吧，虽然质量不错可是也就超英（aka漫威）平均水平啊？？这满眼的即视感为啥要吹得前无古人？？
13,温子仁就像一个从没拍过特效大片的暴发户。两星半，降降火。
14,极致绚烂五光十色的爆米花，而且，明显有些过于“绚烂”了，如果拍电影真的分匠人和大师，那温子仁绝对就是匠人那拨里的领头羊了，他非常聪明地吸取了DC以往的经验教训并取众家之所长，虽然，他的幽默感显然没啥长进，但，人有格斗戏啊，谁能想到一群海里的人打架还可以拳拳到肉呢（笑）；至于主线剧情人鱼相恋、争夺王位、同族内战、千里寻宝什么的，都太太太见怪不怪了，另外对于海王如何与弟媳两情相悦并最终走到一起这部分，温子仁显然砍掉了很多戏，这点俺很不满意；最后，看完这片产生了一个很厉害的想法，每年都有人鼓捣《西游记》，当国内投资人看过这片后，相信短时间内大概非常有望看到一部东海龙王solo片了，选角啥的也不用太费力，导演，当然还是请温子仁，片酬，至少翻两番，至于主演，听说香港有位长相非常洋气的艺术家最近没戏拍，嗯。
15,球球你们别吹了，这种剧情也能被吹上天？都什么年代了，超英片还拍的这么套路？换汤不换药的剧情，特效还是最大的特点？首映全场大家鼓了两次掌，但除了男女主的颜和感情戏，片子丝毫没有打动我的地方。笑点也笑不出来，太多其他片子的影子了，甚至相比之下我好像更喜欢JL？JL看了两遍都觉得还ok，海王不想二刷了。开局8.5，还会掉的。
16,挺一般的啊，剧情基本都能猜得到，莫名其妙的沉重，莫名其妙的和好，刻意商业的尬聊幽默很出戏好吗
17,剧本，导演都有问题，很多片段都似曾相识，硬是凑了两个半小时真是辛苦了我的膀胱。然而剧情不够美工来凑，海底阿凡达，温子仁难担大任，DC要超越漫威还有很长的路要走。
18,白娘子水漫金山啦
19,过程中曾经联想到的大概有：黑豹、阿凡达、指环王、大闹天宫，甚至还有吕克·贝松那部迅速被人遗忘的《千星之城》，但最像的个人感觉是......圣斗士（海皇篇）。妮可的颜值完爆希尔德，温子仁怎么好意思让她当帕特里克·威尔森的娘？两人实际年龄相差不过6岁......对后者是真爱无疑了
20,故事果然还是DC常规水准，营销能力那真是突飞猛进了，有点好奇温子仁拍西游记定海神针篇会是什么效果。本马王粉反而觉得本片最帅的是前面拉了皮的威廉达福……
21,剧本太傻了吧…服装老师差评（但被影院里观众的热情震惊🤯信念感真的太强了
22,此番DC完全摒弃暗黑元素，通篇逗趣诙谐。海底版《阿凡达》、水下版《星球大战》、汪洋版《创战纪》，情节撞车《黑豹》，细节惊现《侏罗纪公园》。多场打斗戏长镜头拍得好看，Amber Heard美得不可方物。最爱海王海后手举红光沉入海沟国的桥段，阴森诡异、剑拔弩张，很有质感。果然，我还是更爱拍恐怖片的温子仁~~~
23,3.5 虽然片名是aquaMAN，但电影所有伟大的瞬间几乎都属于两位女性。
24,温大侠还是品性难移，每次对话没讲完和歌没放完的时候就突然爆的一声，吓人吓上瘾。还是说，你们要把三部“魔戒”的体量塞入140分钟的电影实在太赶时间。
25,得到一把武器就能拯救全世界…这种空洞的游戏设定和狄仁杰得到亢龙锏就能拯救大唐有什么区别…
26,好像有些人格外强调了导演的肤色和身份，这是不是有点过度认同了？温子仁除了皮肤是黄色的、名字是华裔的，其他的东西都是正宗的白人好莱坞的东西，我们在肤色认同上的过度敏感，反而说明我们依然缺乏自信和判断力。影片本身也就是强度放大的平庸超级英雄电影。
27,吹得太过了，就是一个特效大片，视效确实好，一流的爆米花，也无法掩盖中间瞌睡连连的故事，热评那几位是这辈子没看过几部电影，还是收钱了？科幻神作、超越阿凡达、商业巅峰，这种词也真好意思用啊？
28,怎么说  吹过了  没有那么好看 
29,怎么讲，前半部分还挺商业的，节奏快科普性又很强，有点傻瓜看片的感觉。后半段就很放飞了，可能是把一百三十个神话揉在一起，够热闹，够魔幻，符合海王的胸大无脑人设。适合朋友们聚众笑场观看。
30,海王是周天子，他弟弟是秦始皇。你选择谁？
31,今年特效量最足的电影，比漫威强。钞票随便花，预算很宽松，depeche mode的it's no good出现的毫无意义。论视效想象力完全被千星之城秒杀，吕克贝松太冤枉了！
32,情节就是个小朋友睡前故事级别
33,吹过头了吧这片子？走视效技术路线的话请拜托有点高级的想象力和审美好吗...人物还是相当无稽啊，看完我只想说超英电影我还是只认漫威💆🏻♂️
34,最后对决请提前半小时到来。
35,咸水国大战看饿了
36,视觉奇观疲劳，大量的探索与打斗让人逐渐麻木，唯有海沟国的恐怖与血浆段落拍出了所期待的温子仁风格。综上所述：一般~~~。
37,3.5吧，有两场追逐戏不错，一个爆炸爆的很漂亮
38,68/100 维护世界和平这类身怀大义的类型片最重要的永远是人物动机，解决不好这个问题从头到尾都会感觉少了些什么。另外如果人物成长也没能充分展现出来，那就有可能危险了。展现细腻的人物情绪显然不是创作者们的强项，从三次重逢干瘪的现场，以及阿瑟和他爸对话时感觉两个人好似不太熟就可见一斑。但海王故事的框架很厚重，融合了多种类型片，有温拿手的惊悚、还有冒险、动作、战争等等，加上令人眼花缭乱的视觉效果，总算是让观众值回票价吧。
39,直到中段才解决我“为什么海洋和大陆共享一种regime”的疑问，原来是传说中陨落的人类之城，所以“本是同根生”啊。这次超级英雄的蜕变走的是古典路线，回到了古罗马文明（更准确地说是神话中的王子成长叙事），而不再是嚼烂的冷战叙事。全片也充斥着对久远无考的文明之膜拜、敬仰，历史厚重感盖过了类“黑豹”的粉丝向服化道（看完还是觉得这个审美实在无法与中土世界相比，像是cosplay）。故事从“原初失落”开始，主角被自责和half born bastard的身份驱动，同时先天下之忧而忧的设定虽然被抹上罗马风味，但还是忍不出想了一下中国式庶子上位故事。至于为世界和平停战，不过是因为权力更迭，海洋和大陆（象征着国家之间）才能继续保持着动态的张力，毕竟你我的边界都需要对方的存在才得以成立，不算大同。3.5
40,什么嘛，这不就是孙悟空找定海神针嘛！文戏无聊到恨不得有个遥控器快进，偶有几场亮眼的戏，但整体还是没劲，水下世界看得我内心毫无波澜，严重怀疑有些人对超英片的评价是不是只剩一个“场面宏大特效出色”了，拜托别一个个都跟第一天看电影似的行吗。虽然这么说，但是妮可基德曼实在太美了太美了太美了，三颗星全都给她，其他的都退下吧。温子仁拍这种片还要夹带私货，真是辛苦。
41,美术可能是个精分，另外谁说像西游记来着…好魔障哈哈哈
42,完蛋了，想起来满脑子都是老西游电视剧的当当当当的前奏…………视效挺好的，看完特别想去吃烧烤海鲜什么的……试问谁看到蜘蛛蟹出现的时候能安心坐得住……看到那么多钳子和腿满天飞，好像放熔岩里烤烤吃啊
43,一点都不DC，十分漫威。爽片。3.5
44,海王，一位集妈祖、孙悟空与哈利波特于一身的奇男子。让人很介意的是环保的事情最后就这么不了了之了？弟弟倡导保持海洋环境卫生有什么错啊！
45,蠢得有点可爱的电影，非常直，一点弯都不带拐的，确实跟漫威不一样，故事像一个老套的武侠小说。温子仁也是一个技术控，全片特效镜头数不胜数，看到后来已经彻底疲劳，而且前半段都是海底的场面，比较暗，看3D就更费劲了。
46,视效风格的不统一是最大问题。不DC不漫威，视听语言在超英片里排在第一梯队，“几乎重新定义了超英电影的空间感”+1，IMAX体验很好。可惜第三幕明显没招了。后增：温子仁的视听语言基础至少比罗素兄弟扎实十倍。从电影主义的角度看，《海王》是那种最值得过誉的“烂片”，内地完全接受无能的《寂静之地》同理。两者都没有“好故事”（但也是完整和不垮塌的），却在空间的描摹上展现出了高度的执迷和敏锐，虽然倚重的手段可能会有视觉和听觉的分别，但都是在充分发挥电影形式和当下技术的优越性（大部分商业片只着力发挥技术的优越性）。加上底子更好的《碟中谍6》和《头号玩家》，堪称今年商业领域里最“懂电影”的四大将了。
47,新瓶装旧酒，技术层面之外乏善可陈。
48,？所以为什么不消灭人类？？？
49,豆瓣的评分，要么6，要么8。我想还是6吧，否则对不起8分的其他电影。还有，希望超级英雄类电影赶紧完蛋，这么下去好莱坞的创意枯竭的速度还会继续加速。
50,和《正义联盟》一样，是DC目前最好的水准，材料堆得很足，有哥斯拉级的海王坐骑，有小动物一样的红毛蛮妹，比《黑豹》热闹有趣的异族王国和肉搏争王戏码，有海里抗潜艇的拉风出场，有《指环王》场面的海鲜战争，场面做的都可以，且尽量避免重复，看着不瞌睡。但也有问题，比如角色聊着天突然“咣”一下就有人冲过来的桥段全片用了至少三次，初见是惊喜再三出现就是笑话了；还有弟弟为发动战争而争王好歹有个理由，而海王去阻止的动机就没什么展开，这点上电影倒是十足人类本位主义，全片死的全是亚特兰蒂斯人，这样看着就憋气还无趣，换言之，这个“英雄”的塑造是站不住脚的，反倒是童年时水族馆那场对“王”的表现非常煽动。男主角出场是个跟毛子水兵都熟稔的愣头青，角色身上的自在和仇恨写的都算可信，在DC角色中属于稀有的可爱人物了
51,"曾经有个姑娘，她没有美若天仙，但在你眼中也是一见倾心，她不会甜言蜜语，但却字字走心。
姑娘想成为很火的主播，但大家并不是特别买账，有人说姑娘不爱笑，有人说姑娘不够漂亮，他们更喜欢另一个主播，那个主播出道多年，深知说什么话大家爱听，还很会化妆。
后来，姑娘把自己整容成了网红脸，说话风格也变得普罗大众，果然获得了一片好评。
你可以爱她，也可以不再爱她。你知道你永远不会讨厌她，你想，这样对她来说也不错吧。
但是你心里可真难过啊…"
52,读得罗马史 抱得美人归 n.b. Romulus传说中就是弑兄 at 大融城
53,《速度与激情之海底漂移》。这个故事告诉我们哪怕是氪金也要爆橙装是非常重要的一件事情，以及任何宇宙里拥有茂密长发的哥哥总有一个发际线后移的弟弟跟他相爱相杀。海沟国一下兼顾了深海恐惧症和密集恐惧症两者，非常贴心。
54,温子仁的一部分恐怖片调度用在这部电影上意外很是奏效，特效场面也做得还算不错，但高潮戏真的很聒噪、很无聊、很质感廉价。《海王》和《神奇女侠》最好的部分都是开篇段落烘托出的一种“神话”氛围，最糟糕的部分都是后半段落入让人白眼的以武抗武的原始人般的狭隘逻辑。★★★
55,80%篇幅的海底奇观，简直是密恐患者的视觉灾难！这情节设置…还是娱乐大片原来的配方啊，但温子仁通过技术上的各种巧思（如意大利屋顶追逐戏一个流畅的伪长镜头囊括了两条打斗线）弥补了过多小高潮带来的观众在参与上断层与疲乏等问题。接近两个半小时真的太挑战了！😪
56,凌睿到底在说什么梦话，这年头为了迎合大众已经闭眼夸成这样了？温子仁行不行，行，海王行不行，不行。我喜不喜欢这部电影，不喜欢，我喜不喜欢杰森莫玛，我要嫁给他。男女主感情线行不行，不行，骨科是不是真的，是。海王最牛逼超能力或是在水中永远不会被长发糊到眼。
57,看完《海王》第一感受就是想看《人鱼帝国》，不知道还能不能上映啊...
58,好一场海鲜大战！
59,没想到水下这个样子的花花绿绿就把大家给惊着了，要求其实真的不高，也是，毕竟抖音快手不给人审美上的收获。这个导演很能模仿各种成功的大场景桥段嘛，粗暴的电视级手法，只有展示没有灵魂，相比诺兰透过蝙蝠侠对世界做过的深刻解释，海王可能确实是带大家打打游戏就好了。
60,美术配色质感上都缺乏细节 风格也凌乱 海王最后的玉米造型不行啊 不能跟阿凡达比 更别提魔戒了。海王很可以。
61,派脆秃很努力了！发际线都这么高了还梳了个这样的发型，而且台词耻度还这么高
62,情节实在太赶太赶太赶了，走马观花，所有人物都像是赶着回家奶娃一样，毫无停顿和沉淀，禁不起深思。要是把节奏放缓，这片子估计拍成三部。。不过形势所迫，温子仁能把握到这个程度也不容易，大场面的调度、运镜和转场还是厉害的。西西里岛上那段追逐戏的镜头运动配得上牛逼二字，基本相当于把《招魂》系列里各种逼仄空间的镜头运动放到了更广阔的天地，大有作为。
63,各方面都不失DC水准，但在电影院只感觉到疲惫。以及希望这种视效大片可以控制在90-110分钟，143分钟是在挑战观众对3D眼镜忍耐力和膀胱的持久力。
64,从海里爬上陆地生宝宝，生完也不管拍拍屁股走人，让孩子长大自己回海里。我说的不是海龟，是海王他娘.....
65,🐸战士太出戏
66,徐锦江电影宇宙！
67,直男们你们看得开心就好。
68,因为期待不太高所以看时居然有点小惊喜！很多场景本来挺装逼的但实际效果却特别二... ...妮可基德曼一如既往的美丽！另外海王最后的形象像个玉米棒子精。
69,感觉没有推荐的那么好看
70,深海版黑豹aka黑海豹，连密恐部分都可以一样我也是服了。真的难看，我现在只想看ginger系列的色情片洗洗脑
71,和大多数的超英电影一样，走出影厅就忘记了。。。玉米粒战衣丑爆了。。。所有好莱坞的怪物都长一个样。。一大坨堆在一起好恶熏惹
72,在IMAX厅看的，特效一如预期般出彩，但很可惜的是，剧情实在太薄弱了点，人物也很功能性，完全不足以撑起这样的特效，虽然我很爱DC，甚至还穿着“正义联盟”的主题帽衫，但什么堪比《指环王》、《黑暗骑士》的言论简直就是屁话。 
73,温导，商量下能不能海沟族大冒险来一集单独的？觉得那里最猴看惹。另外。为什么我那么替奥姆感到惋惜啊！真的是从天而降一个哥，刷拉拉未婚妻没了三叉戟没了王位没了妈有了又没了。
74,孙悟空大战银枪小霸王mix沉香劈山救母mix董永七仙女 谁跟我提阿凡达星球大战超人跟谁急 中华民族伟大复兴的号角已经被温子仁吹响💪💪💪英皇IMAX北京市区最佳了
75,最大的赢家难道不是两位女性？妮可就不说了，把她弄到哪里都灭不了她，她都能好好活下来。公主被国王爱，但她不爱国王，于是就把自己爱的男人扶上王座，她还是王后！
76,sorry 有种大闹天宫即视感 另外想知道妮可基德曼是怎么保养的
77,优秀的特效！俗套的剧情……男主女主给我感觉像是徐锦江和迪丽热巴在谈恋爱。海盗孤儿真的很像红眼果蝇。这个故事告诉我们，金角大王比银角大王厉害，理科生一定要在有强悍动手能力的同时保持自己的文学修养，否则就会被学历史的文科生爆头。
78,靠刚进海沟那段值得多给半颗星，温子仁在影像上的把控力的确是现在好莱坞导演里排前列的 7.0分★★★☆
79,马王就这样变成了海王……你问过风暴降生丹妮莉丝、铁王座的合法继承人、七国守护者、龙之母、大草原上的卡丽熙.龙妈了吗？
80,《宝莲灯》海外版
81,这几个热评也太膨胀了吧，你们是哪里来的自信，拿海王去和指环王比啊。。。是不是太久没吃海鲜给你们憋坏了？确实是一部合格的爆米花大片，DC这次终于能把剧情讲明白了，也真是不容易。
82,一个视觉冲击较大的情节：海王的爹妈分开20年后，老爹正常的发展成为一个谢顶大肚子的中年男人；但是老妈容颜完全没有变化。。。
83,海王的装备就跟电脑弹窗页游一样一刀99级 
84,但海王本身长的就太不符合我的审美了
85,看的我困……除了第一段海王妈的打斗，海王潜水艇打斗的运镜有点意思，海沟国开场的小惊悚以外，其他时间都很无趣……剧情就是拼盘故事会，审美更是一级糟糕，亚特兰蒂斯就是海底彩色LED 灯带俱乐部[微笑]温子仁拯救DC ？我看DC是没得救了～另外，按照海王拿到三叉戟就能当海洋领主的逻辑，我觉得孙悟空更适合当海王，1.大圣的棍耍得更好。2.如意金箍棒战斗力应该是秒杀三叉戟的～再吐个槽，海底生物为什么还要坐航母？！
86,说它大杂烩真的不算冤枉它，前面是超级英雄耍帅片儿，突然到了意大利变成了旅游风光MV，追兵到了以后变成屋顶城市跑酷，终于到了海沟国故事又变成了目连救母。。（不过海王目连不够厉害，还是要靠妈妈救女朋友），终于拿到祖传黄金三叉戟，号令群雄莫敢不从，跑去和奥姆大战，又是哪吒闹海的既视感，蛏子螃蟹皮皮虾，乌龟鳕鱼福寿螺，嘿这叫一个热闹。让我想起以前戏曲白蛇传去乡间演出的时候，演到水漫金山这一出，乡民老大爷敬畏地说，嘿好嘛，合着这白蛇还是个水蛇！一招呼把附近所有的海鲜都招来了。（呃，看完真的就，很想吃烤海鲜。
87,抄袭《黑豹》真的不脸红吗？
88,天下为公大一统，最后靠的还是嗓门和个头
89,海王后来老穿着衣服，我就困了。
90,算是个爽片吧，剧情是西式奇幻加中式武侠，叙事节奏是温式无尿点。特效看起来不错，但没什么想象力，比较廉价。人物造型不喜，满满的塑料感。
91,耀莱成龙五棵松店2018.12.9.4:45pm 皮诺曹、海的女儿、西游记的金箍棒和亚瑟王的石中剑，超级英雄、环保主题和特效大演练。
92,短暂的叙事环节结束之后，扑面而来的春晚式美术风格与锣鼓喧天的动作场面，成功治愈了我的睡眠不足。
93,一群夜叉叉来叉去，就是为了抢一个远古的大金叉子，那个大金叉子其实就是个话筒。。。。好吧，我又在影院睡着了。。。
94,哈哈哈哈我的天呐！英语版西游记之东海龙宫！全程无缝连接西游组曲，每一个桥段都是二十年前的，没有哪怕一丝丝惊喜，特效就是普通商业大片的特效啊，就这还拳打阿凡达，脚踢指环王呢？反正也不是第一次被dc粉骂了，所以以后DC粉就憋说自己是有深意别人觉得不好看都活该看爆米花电影了好吗！三星给妮可和女主的高颜值！
95,剧情很水，特效很好，有几个场景特别温子仁，这是dc最传奇最神话的一部超英了，比神奇女侠还神话，所以还挺难有代入感的。零点首映简直了，每一个小高潮点出来的时候，就各种尖叫鼓掌，让我怀疑我根本就是一个小透明。
96,第一次首场，第一次午夜场，凌晨两三点的街道好过这部电影。
97,确实比DC宇宙之前交的那些作业高了一个层次，温子仁可以说是DC的救星了，还夹带私货玩儿了把恐怖惊悚，几个地方镜头美哭，但就是节奏太紧了，一直打打打乒乒乒咚咚咚，一点儿喘气的功夫都没有，看得特别累，看完也不知道海王究竟是个什么样的性格人设，可能是片方觉得，反正大家也不care，拼命露肉就对了？
98,一部融合了太多其他作品既视感的电影，反而失去了自己的灵魂。特效看着昂贵无比，却还是没有做出美感。温子仁的惊悚恐惧与DC的暗黑相辅相成，海王的美好肉体与撩人眉眼堪称一绝。已然进步不小，可究竟是否配得上漫天胡吹，还请各自心证。我到底还是爱DC，愿它越来越好。ps.那个充满肥美螃蟹小龙虾和鱿鱼的海底王国到底是什么美好天堂
99,Karathen太帅了！
100,喜欢海王的都是些性生活没有真正达到灵魂高潮的人~
101,大家是不是对口碑炸裂有什么误会，这部片明明是低幼童话啊，动画片的素质。第一部海王电影人物就立不起来，而且里面所有主要人物的人格都是扭曲的，不明白为什么满手好牌却要打成这样。如果只谈特效的话，海洋的部分有海洋馆和海鲜市场的感觉，亚特兰蒂斯文明是游戏效果。所有剧情都是被推着走，感觉未婚妻的角色完全有自己当女王的素质，还不如让这个混血小子傻乎乎的在陆地上陪着老爸喝啤酒呢。
102,首映排队领叉子，DC越来越标准商业效果片了。什么阿凡达？本人不爱（捂脸）。
103,大咕咕鸡看了肯定很高兴，海鲜打架
104,目前詹姆斯温最令我失望的电影……特效堆砌，音响轰炸……吃不消
105,整体满满的中二感，海王的智商还时不时下线，都8102年了还在玩上个世纪的爱情梗。亚特兰蒂斯完全满足了我的幻想，战争场面也很精彩，为了湄拉加一星。
106,在西西里打斗的两组长镜头设置很巧妙，连接反派视角和主角视角，主观视角和全局；但水下的镜头过于五彩斑斓和荧光色，有点游戏感，男主整体角色设置比女主逊色不少，没任何作为hero的personality，真应该叫《湄拉和她的副手》
107,看完海王以后游了个泳，感觉略有提高。看评论都在拿海王和阿凡达相比，我觉得差很多，因为海王里眼花缭乱的是以全景、王宫和各式武装战舰（军用科技）为主，只提供了一个新世界空壳，亚特兰蒂斯人怎么生活一概不知，而阿凡达的奇观大多是生活细节（民用科技）为主，观众随主角一起观光游历了新世界。两者趣味倾向截然不同。最喜欢的段落是西西里岛，这都不算奇观了，只是走马观花的异域。此外弱气小男孩转场就长成胡子鸡肉大叔也太惊悚了。
108,3.5 “那他就是你们的王”
